class_type,class_name,cover_fraction,cover_sqkm
benthic,Rock,0.2223,6.0596
benthic,Rubble,0.0744,2.0295
benthic,Sand,0.6016,16.4005
benthic,Microalgal Mats,0.0025,0.0674
benthic,Coral/Algae,0.0992,2.7047
geomorphic,Reef Slope,0.0826,2.9505
geomorphic,Sheltered Reef Slope,0.0948,3.3871
geomorphic,Reef Crest,0.0547,1.9541
geomorphic,Outer Reef Flat,0.1343,4.7999
geomorphic,Plateau,0.0203,0.7262
geomorphic,Back Reef Slope,0.0680,2.4318
geomorphic,Shallow Lagoon,0.0934,3.3367
geomorphic,Deep Lagoon,0.2885,10.3094
geomorphic,Inner Reef Flat,0.1635,5.8449
reefextent,Reef,1.0000,50.3286
